Bulgaria	Greek	1
Bulgaria	Hindi	1
Bulgaria	Hungarian	1
Bulgaria	Russian	2
Bulgaria	Turkish	1
Burkina Faso	Bambara	2
Burkina Faso	Dioula	4
Burkina Faso	French	31
Burkina Faso	More	7
Burkina Faso	Peul	1
Burma	Burmese	3
Burundi	French	1
Burundi	Kirundi	2
Cambodia	Central Khmer	11
Cambodia	English	10
Cambodia	French	2
Cambodia	Khmer	23
Cambodia	Thai	1
Cameroon	Creoles and pidgins	1
Cameroon	English	7
Cameroon	French	25
Canada	Aboriginal	1
Canada	Afrikaans	1
Canada	American Sign Language	1
Canada	Arabic	17
Canada	Armenian	3
Canada	Bosnian	1
Canada	Bulgarian	4
Canada	Cantonese	6
Canada	Catalan	2
Canada	Chinese	15
Canada	Cree	1
Canada	Creole	1
Canada	Creoles and pidgins	1
Canada	Czech	1
Canada	Danish	1
Canada	Dari	1
Canada	Dutch	1
Canada	English	5066
Canada	Filipino	3
Canada	Finnish	1
Canada	French	1054
Canada	German	6
Canada	Greek	3
Canada	Hebrew	2
Canada	Hindi	14
Canada	Hungarian	3
Canada	Icelandic	1
Canada	Inuktitut	10
Canada	Italian	1
Canada	Japanese	8
Canada	Khmer	1
Canada	Korean	3
Canada	Kurdish	2
Canada	Mandarin	8
Canada	Marathi	1
Canada	Nepali	1
Canada	None	6
Canada	North American Indian	2
Canada	Norwegian	1
Canada	Ojibwa	1
Canada	Persian	14
Canada	Punjabi	10
Canada	Romanian	1
Canada	Russian	10
Canada	Serbo-Croatian	1
Canada	Spanish	42
Canada	Tajik	1
Canada	Tamil	6
Canada	Telugu	2
Canada	Thai	1
Canada	Turkish	1
Canada	Urdu	3
Canada	Vietnamese	3
Canada	Yiddish	1
Cape Verde	Creole	1
Cayman Islands	English	2
Cayman Islands	Flemish	1
Chad	Arabic	2
Chad	French	2
Chile	English	27
Chile	French	2
Chile	German	1
Chile	Hebrew	1
Chile	Polish	1
Chile	Spanish	543
China	Arabic	1
China	Cantonese	58
China	Chinese	507
China	Dutch	1
China	English	101
China	Filipino	1
China	French	2
China	Hmong	2
China	Japanese	10
China	Korean	6
China	Mandarin	1294
China	Mongolian	3
China	None	1
China	Russian	3
China	Shanghainese	5
China	Shanxi	2
China	Spanish	1
China	Tibetan	15
China	Vietnamese	1
Colombia	Creole	2
Colombia	English	11
Colombia	Italian	1
Colombia	Portuguese	2
Colombia	Russian	1
Colombia	Spanish	297
Congo	English	1
Congo	French	1
Congo	Lingala	1
Costa Rica	English	9
Costa Rica	Spanish	50
Croatia	Arabic	1
Croatia	Bosnian	2
Croatia	Bulgarian	1
Croatia	Croatian	193
Croatia	Czech	1
Croatia	Dutch	1
Croatia	English	16
Croatia	French	1
Croatia	German	3
Croatia	Italian	1
Croatia	Portuguese	1
Croatia	Serbian	14
Croatia	Serbo-Croatian	34
Croatia	Slovenian	2
Croatia	Spanish	1
Cuba	English	7
Cuba	Portuguese	1
Cuba	Spanish	161
Cyprus	Arabic	1
Cyprus	English	15
Cyprus	Greek	45
Cyprus	Turkish	1
Czech Republic	Basque	1
Czech Republic	Catalan	1
Czech Republic	Czech	576
Czech Republic	Dari	1
Czech Republic	English	52
Czech Republic	French	4
Czech Republic	German	10
Czech Republic	Hebrew	1
Czech Republic	Hungarian	2
Czech Republic	Italian	1
Czech Republic	Korean	1
Czech Republic	None	2
Czech Republic	Polish	1
Czech Republic	Romany	1
Czech Republic	Russian	5
Czech Republic	Serbo-Croatian	1
Czech Republic	Slovak	15
Czech Republic	Spanish	4
Czech Republic	Ukrainian	4
Czechoslovakia	Arabic	1
Czechoslovakia	Bulgarian	1
Czechoslovakia	Chechen	1
Czechoslovakia	Czech	324
Czechoslovakia	English	1
Czechoslovakia	French	2
Czechoslovakia	German	1
Czechoslovakia	Italian	1
Czechoslovakia	Polish	2
Czechoslovakia	Russian	3
Czechoslovakia	Slovak	78
Democratic Republic of the Congo	English	4
Democratic Republic of the Congo	French	5
Democratic Republic of the Congo	Lingala	1
Denmark	Arabic	7
Denmark	Bosnian	1
Denmark	Burmese	1
Denmark	Chinese	1
Denmark	Danish	725
Denmark	Dari	2
Denmark	Dutch	2
Denmark	English	138
Denmark	Estonian	1
Denmark	Faroese	3
Denmark	French	6
Denmark	German	6
Denmark	Greenlandic	2
Denmark	Haitian	1
Denmark	Hindi	1
Denmark	Indonesian	1
Denmark	Italian	1
Denmark	Japanese	2
Denmark	Latvian	1
Denmark	Mandarin	2
Denmark	Norwegian	4
Denmark	Persian	2
Denmark	Polish	1
Denmark	Portuguese	1
Denmark	Russian	7
Denmark	Saami	1
Denmark	Scanian	1
Denmark	Serbian	1
Denmark	Serbo-Croatian	1
Denmark	Shona	1
Denmark	Spanish	8
Denmark	Swedish	13
Denmark	Tamil	2
Denmark	Urdu	1
Dominica	English	1
Dominican Republic	English	6
Dominican Republic	Spanish	160
East Germany	German	184
East Germany	Russian	3
Ecuador	English	3
Ecuador	French	1
Ecuador	Russian	1
Ecuador	Spanish	91
Egypt	Arabic	477
Egypt	Egyptian (Ancient)	2
Egypt	English	13
Egypt	French	2
El Salvador	English	2
El Salvador	Spanish	13
Eritrea	Tigrigna	2
Estonia	Arabic	1
Estonia	English	10
Estonia	Estonian	130
Estonia	Finnish	1
Estonia	German	1
Estonia	Latvian	1
Estonia	Norwegian	1
Estonia	Polish	1
Estonia	Russian	10
Ethiopia	Amharic	10
Ethiopia	English	3
Faroe Islands	Faroese	2
Federal Republic of Yugoslavia	English	2
Federal Republic of Yugoslavia	Hungarian	1
Federal Republic of Yugoslavia	Romany	1
Federal Republic of Yugoslavia	Serbian	75
Federal Republic of Yugoslavia	Serbo-Croatian	3
Fiji	English	4
Fiji	Hindi	1
Finland	Bulgarian	1
Finland	Chinese	2
Finland	English	59
Finland	Estonian	8
Finland	Filipino	1
Finland	Finnish	708
Finland	French	3
Finland	Georgian	1
Finland	German	6
Finland	Gujarati	1
Finland	Hindi	1
Finland	Italian	1
Finland	Mandarin	1
Finland	Nenets	3
Finland	Persian	1
Finland	Russian	11
Finland	Saami	1
Finland	Spanish	3
Finland	Swedish	29
France	Aboriginal	1
France	Acholi	1
France	Albanian	2
France	Arabic	108
France	Armenian	7
France	Bambara	6
France	Bengali	2
France	Bosnian	2
France	Bulgarian	3
France	Burmese	1
France	Cantonese	2
France	Catalan	2
France	Central Khmer	4
France	Chechen	1
France	Chinese	8
France	Corsican	1
France	Creole	3
France	Czech	3
France	Danish	1
France	Dutch	5
France	Dyula	1
France	Dzongkha	1
France	English	734
France	Esperanto	1
France	Filipino	3
France	French	6690
France	French Sign Language	1
France	Fula	1
France	Gaelic	1
France	Georgian	6
France	German	44
France	Greek	11
France	Haitian	3
France	Hebrew	25
France	Hindi	3
France	Hungarian	4
France	Icelandic	2
France	Indonesian	1
France	Inuktitut	2
France	Italian	46
France	Japanese	25
France	Kaado	1
France	Kabyle	2
France	Kazakh	4
France	Khmer	6
France	Korean	7
France	Kriolu	1
France	Kurdish	5
France	Kyrgyz	2
France	Ladakhi	1
France	Latin	1
France	Lingala	3
France	Lithuanian	1
France	Macedonian	1
France	Malagasy	7
France	Malayalam	1
France	Malinka	1
France	Mandarin	21
France	Mongolian	2
France	More	1
France	Nepali	1
France	None	21
France	Norwegian	1
France	Occitan	5
France	Ojihimba	1
France	Parsee	1
France	Pashtu	1
France	Persian	17
France	Peul	1
France	Polish	5
France	Portuguese	33
France	Quechua	1
France	Romanian	10
France	Russian	35
France	Serbian	2
France	Serbo-Croatian	4
France	Slovenian	1
France	Somali	1
France	Sousson	1
France	Spanish	96
France	Swahili	1
France	Swiss German	1
France	Tagalog	1
France	Tamil	2
France	Tibetan	2
France	Turkish	9
France	Ukrainian	2
France	Urdu	1
France	Uzbek	1
France	Vietnamese	4
France	Visayan	1
France	Wolof	2
France	Yiddish	1
France	Zulu	1
French Polynesia	English	1
Gabon	English	1
Gabon	French	4
Gambia	English	2
Georgia	English	15
Georgia	French	4
Georgia	Georgian	199
Georgia	Russian	4
Georgia	Spanish	1
Germany	Acholi	1
Germany	Afrikaans	2
Germany	Albanian	3
Germany	Amharic	1
Germany	Arabic	31
Germany	Armenian	3
Germany	Bengali	7
Germany	Berber	1
Germany	Bosnian	1
