countries_first	languages_first	running_times_first	kind
Bosnia and Herzegovina	French	1.2666666666666666	1
Bosnia and Herzegovina	None	1.1666666666666667	1
Bosnia and Herzegovina	Serbian	1.5018518518518518	9
Bosnia and Herzegovina	Serbo-Croatian	1.4166666666666667	10
Bosnia and Herzegovina	Slovenian	1.45	1
Brazil	Arabic	1.3333333333333333	1
Brazil	Armenian	1.05	1
Brazil	Brazilian Sign Language	1.423809523809524	7
Brazil	Creole	1.0166666666666666	1
Brazil	Danish	1.7166666666666666	1
Brazil	English	1.4856807511737093	71
Brazil	French	1.1690476190476191	7
Brazil	Italian	1.4	2
Brazil	Japanese	1.5666666666666667	2
Brazil	Mandarin	1.75	1
Brazil	None	1.0666666666666667	1
Brazil	Portuguese	1.5084795321637425	1653
Brazil	Russian	1.5	1
Brazil	Spanish	1.4455128205128203	26
Brazil	Tupi	1.5333333333333334	1
Brazil	Yoruba	1.6666666666666667	1
Bulgaria	Bulgarian	1.5887482419127998	237
Bulgaria	Burmese	1.2333333333333334	1
Bulgaria	English	1.5453333333333337	25
Bulgaria	French	1.8333333333333333	1
Bulgaria	German	1.5666666666666667	1
Bulgaria	Greek	1.5666666666666667	1
Bulgaria	Hindi	2.283333333333333	1
Bulgaria	Hungarian	1.5	1
Bulgaria	Russian	1.7583333333333333	2
Bulgaria	Turkish	1.8333333333333333	1
Canada	Aboriginal	1.0333333333333334	1
Canada	Afrikaans	2.1166666666666667	1
Canada	American Sign Language	1.8833333333333333	1
Canada	Arabic	1.504901960784314	17
Canada	Armenian	1.2666666666666666	3
Canada	Bosnian	1.1166666666666667	1
Canada	Bulgarian	1.475	4
Canada	Cantonese	1.5027777777777775	6
Canada	Catalan	1.6416666666666666	2
Canada	Chinese	1.6133333333333335	15
Canada	Cree	1.6833333333333333	1
Canada	Creole	1.3666666666666667	1
Canada	Creoles and pidgins	1.25	1
Canada	Czech	1.65	1
Canada	Danish	1.35	1
Canada	Dari	1.8333333333333333	1
Canada	Dutch	1.55	1
Canada	English	1.5088004362050171	4586
Canada	Filipino	1.1	2
Canada	Finnish	1.1	1
Canada	French	1.545509803921568	850
Canada	German	1.4533333333333336	5
Canada	Greek	2.9916666666666667	2
Canada	Hebrew	1.3083333333333333	2
Canada	Hindi	1.7256410256410257	13
Canada	Hungarian	1.5722222222222222	3
Canada	Inuktitut	1.653333333333333	10
Canada	Italian	2.5	1
Canada	Japanese	1.638095238095238	7
Canada	Korean	1.7166666666666668	3
Canada	Kurdish	1.3166666666666667	2
Canada	Mandarin	1.3604166666666668	8
Canada	Marathi	1.7166666666666666	1
Canada	Nepali	1.25	1
Canada	None	1.2958333333333334	4
Canada	North American Indian	1.625	2
Canada	Norwegian	1.7	1
Canada	Ojibwa	1.1833333333333333	1
Canada	Persian	1.3845238095238095	14
Canada	Punjabi	2.0666666666666664	10
Canada	Russian	1.325	10
Canada	Serbo-Croatian	1.1833333333333333	1
Canada	Spanish	1.4224999999999999	40
Canada	Tajik	1.3666666666666667	1
Canada	Tamil	1.5333333333333332	6
Canada	Telugu	1.6166666666666667	2
Canada	Thai	1.05	1
Canada	Turkish	1.7166666666666666	1
Canada	Urdu	1.4722222222222223	3
Canada	Vietnamese	1.5166666666666666	3
Canada	Yiddish	1.4166666666666667	1
Chile	English	1.5346153846153845	26
Chile	French	1.6916666666666667	2
Chile	German	1.5	1
Chile	Hebrew	1.75	1
Chile	Polish	1.5166666666666666	1
Chile	Spanish	1.4717726396917143	519
